COUNTRY,ConstructionClassDescription,ConstructionSchemeID,ConstructionClassCode
AD,Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,RMS,7
AD,Major Bridges (> 500 ft. spans),RMS,8
AD,Underground Pipelines,RMS,9
AR,Unknown,ATC,0
AR,Wood Frame,ATC,1
AR,Moment Steel Frame (Perimeter),ATC,10
AR,Moment Steel Frame (Distributed),ATC,11
AR,Ductile RC Frame (Distributed),ATC,12
AR,Non-Ductile RC Frame (Distributed),ATC,13
AR,Precast Concrete (Non Tilt-Up),ATC,14
AR,Long Span,ATC,15
AR,Tilt-Up,ATC,16
AR,Conventional Bridges (< 500 ft. spans) w/ Multiple Simple Spans,ATC,19
AR,Light Metal,ATC,2
AR,Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,ATC,20
AR,Major Bridges (> 500 ft. spans),ATC,21
AR,Pipelines,ATC,22
AR,Concrete Dams,ATC,24
AR,Earthfill and Rockfill Dams,ATC,25
AR,Alluvium Tunnels,ATC,26
AR,Rock Tunnels,ATC,27
AR,Cut & Cover Tunnels,ATC,28
AR,Non-Elevated Tanks,ATC,29
AR,Unreinforced Masonry Wall,ATC,3
AR,Elevated Tanks,ATC,33
AR,Railroads (Track & Bed),ATC,35
AR,Highways,ATC,36
AR,Runways,ATC,37
AR,High Industrial Masonry Chimneys,ATC,38
AR,High Industrial Concrete Chimneys,ATC,39
AR,URM Wall with Frame,ATC,4
AR,High Industrial Steel Chimneys,ATC,40
AR,Cranes,ATC,41
AR,Conveyor Systems,ATC,42
AR,Electrical Transmission Line Towers and Broadcast Towers,ATC,43
AR,Canals,ATC,48
AR,Earth Retaining Structures (> 20 ft. high),ATC,49
AR,RC Shear Wall with Frame,ATC,5
AR,Waterfront Structures,ATC,50
AR,Residential Equipment,ATC,51
AR,Office Equipment,ATC,52
AR,Electrical Equipment,ATC,53
AR,Mechanical Equipment,ATC,54
AR,High Technology/Lab Equipment,ATC,55
AR,"Trains, Trucks, Airplanes",ATC,56
AR,RC Shear Wall without Frame,ATC,6
AR,RM Shear Wall,ATC,7
AR,RM Shear Wall with Frame,ATC,8
AR,Braced Steel Frame,ATC,9
AR,UNKNOWN,RMS,0
AR,WOOD,RMS,1
AR,Concrete Dams,RMS,11
AR,Earthfill and Rockfill Dams,RMS,12
AR,Alluvium Tunnels,RMS,13
AR,Rock Tunnels,RMS,14
AR,Cut & Cover Tunnels,RMS,15
AR,Non-Elevated Tanks,RMS,16
AR,Light Wood Frame,RMS,1A
AR,Light Wood Stud Walls,RMS,1A1
AR,Light Wood with URM/Adobe Infill,RMS,1A4
AR,Heavy Timber,RMS,1B
AR,Heavy Timber Frame,RMS,1B1
AR,MASONRY,RMS,2
AR,Elevated Tanks,RMS,20
AR,Railroad (Track and Bed),RMS,22
AR,Highways,RMS,23
AR,Runways,RMS,24
AR,High Industrial Masonry Chimneys,RMS,25
AR,High Industrial Concrete Chimneys,RMS,26
AR,High Industrial Steel Chimneys,RMS,27
AR,Cranes,RMS,28
AR,Conveyor Systems,RMS,29
AR,Weak Masonry,RMS,2A
AR,Adobe,RMS,2A2
AR,Reinforced Adobe,RMS,2A3
AR,Unreinforced Masonry,RMS,2B
AR,Unreinforced Cut Stone Masonry,RMS,2B1
AR,Unreinforced Solid Brick Masonry,RMS,2B2
AR,Unreinforced Concrete Block Masonry,RMS,2B3
AR,Bahareque,RMS,2B6
AR,Structural Masonry,RMS,2C
AR,Reinforced Masonry,RMS,2C1
AR,Confined Masonry,RMS,2C2
AR,Reinforced Masonry with Wood or Metal Studs in the upper floors,RMS,2C5
AR,REINFORCED CONCRETE,RMS,3
AR,Electrical Transmission Line Towers and Broadcast Towers,RMS,30
AR,Canals,RMS,35
AR,Earth Retaining Structures (> 20 ft. high),RMS,36
AR,Waterfront Structures,RMS,37
AR,Residential Equipment,RMS,38
AR,Office Equipment,RMS,39
AR,Cast-in-place Reinforced Concrete with Concrete Roof Deck,RMS,3A
AR,Reinforced Concrete Moment Resisting Frame,RMS,3A1
AR,RCMRF with Shear Walls,RMS,3A2
AR,Reinforced Concrete Shear Walls with limited ductility,RMS,3A23
AR,RCMRF with Unreinforced Masonry Infill,RMS,3A3
AR,Reinforced Concrete Shear Wall,RMS,3A4
AR,RCMRF with Waffle or Flat Slab,RMS,3A5
AR,RCMRF with Shear Walls with Waffle or Flat Slab,RMS,3A7
AR,Precast Reinforced Concrete with Concrete Roof Deck,RMS,3B
AR,Tilt-Up,RMS,3B4
AR,STEEL,RMS,4
AR,Electrical Equipment,RMS,40
AR,Mechanical Equipment,RMS,41
AR,High Technology/Lab Equipment,RMS,42
AR,"Trains, Trucks, Airplanes",RMS,43
AR,Automobiles - Personal,RMS,44
AR,Automobiles - Dealers,RMS,45
AR,Steel Frame with Concrete Roof Deck,RMS,4A
AR,Steel Moment Resisting Frame,RMS,4A1
AR,Steel MRF with Shear Walls,RMS,4A2
AR,Steel MRF with Unreinforced Masonry Infill,RMS,4A3
AR,Concentrically Braced Steel Frame,RMS,4A4
AR,Light Metal,RMS,4B
AR,Conventional Bridges (< 500 ft. spans) w/ Multiple Simple Spans,RMS,6
